,formula,target
7100,Na0.5Nd0.2Nb2Bi2.3O9,1100.0
4782,Lu2TeO6,900.0
7212,Ti0.9NbW0.1Bi3O9,1150.0
3391,ZrP2O7,1100.0
11000,Sr0.925Pr0.075TiO3,1300.0
3190,ZrTe5.2,500.0
8690,BaTi0.8Nb0.1Al0.1O3,1400.0
2520,Nd0.07FeBi0.93O3,890.0
2317,Ca0.04Ce0.5La1.96Zr1.5O7,1600.0
4218,Sm2CeO6,1150.0
1295,Sr0.5Pr0.5FeO3,1275.0
7041,LaMo0.05CoNiO3,1450.0
230,MgAl2O4,1386.5
7120,Y1.19SiO5,1400.0
1827,Y0.15Hf0.08Zr0.77O2,1600.0
9135,Ca0.075CuAl0.925O2,1200.0
7302,CuAl0.96Sb0.04O2,1100.0
399,La0.4Mn2Bi0.2O3,1020.0
5017,Ba0.98Mg0.02Zr0.02Ti0.98O3,1150.0
1244,NiSb2O6,1235.0
2483,Ba2Ca0.2Mg1.8Y0.8Cu2.2O7,940.0
7531,YMn0.93Co0.07O3,1300.0
11034,Ca0.45Pr0.55Fe0.3Co0.7O3,1200.0
8532,Zr0.4Ti0.2O3,1200.0
7159,Y2Hf1.4Ti0.6O7,1500.0
10803,Ba0.988Mg1.992P2O8,1100.0
3296,Ba0.7Sr0.255La0.03Ti0.01Nb1.99O2.995,1250.0
3327,Sr0.02La0.98Mn0.98Ga0.02O3,1500.0
6330,Ca0.4MgLa0.6Ti3Al7O18,1500.0
278,GdFeO3,1375.0
8615,ZrTiNb0.267Ni0.133O3,1200.0
9117,Na0.05Sr0.95LaFeO4,1050.0
3628,Mn3.4Cu0.6N,750.0
915,Ca2P2O7,1075.0
8552,Zr0.682Ti1.136Nb0.267Ni0.133O3,1200.0
7589,Ca0.05Ho0.95Mn0.9Co0.1O3,1450.0
6950,Y3Al3O12,1400.0
4600,Zr0.078Ti0.588Nb0.02Pb0.99Sn0.314O3,1300.0
4290,Sr0.5Fe12Pb0.5O19,1150.0
1405,BaY0.1In0.4Sn0.5O2.75,1500.0
11182,Li0.1Mg0.4Fe2.1Zn0.6O4,1000.0
5712,TbVO4,850.0
2001,Ca0.03La2Zr1.97O7,1550.0
7510,Li1.11Ti0.11Ta0.89O3,1150.0
10415,Ba0.3Ti0.3Fe0.7Zn0.28Bi0.42O3,980.0
1779,Sr0.32La0.48Fe0.8Co0.2O3,1400.0
2749,Ba3Sc4O9,1400.0
6470,Ca0.02Tb0.98MnO3,1200.0
9448,Dy0.2La1.8W0.4Mo1.6O9,950.0
349,Sr3SmFe3O10,1500.0
5943,SrV2Pb0.05Bi1.95O9,850.0
2090,La2CoO4,1225.0
336,Al2Si4.5N6O3,1750.0
3333,Sr0.1La0.9Mn0.9Ga0.1O3,1500.0
3158,LiY6.3Si6O26,1350.0
10039,Ba0.3Sr0.4La0.3Fe12O19,1165.0
5354,Gd4.8Si6O26,1350.0
10154,Nd1.4Ru2Bi0.6O7,1080.0
3409,Ba13Al22Si10O66,1400.0
478,La0.8Mn1.2Bi0.2O3,1020.0
6422,Eu0.021Y2.979Al5O12,1780.0
1734,CaZr0.1Co0.9O3,1200.0
3392,Ce0.01Y2.99Al5O12,1500.0
1308,Sr2TiMo0.3Fe0.7O6,800.0
2133,Sr0.4La0.6Ti0.5Mn0.5O3,1500.0
7110,Na3.3Sn1.3Sb0.7O6,1300.0
3436,Li2Ru0.8Ir0.2O3,1000.0
9765,Ba0.8Sr0.2Ce0.8Y0.2O3,1600.0
327,Ba0.099Ca0.231La0.67MnO3,1350.0
8299,Zr0.88Ti0.352O3,1200.0
8850,Ba0.15Sr0.55Ca0.3TiO3,1400.0
9273,Sr0.05Sm0.15Ce0.8O1.875,1500.0
5723,Sr0.7La0.3Ti0.8Cr0.2O3,1500.0
1485,Mg0.2Rh0.8Ag0.6Cu0.4O2,930.0
5170,BaZr0.045Ti0.955O3,1275.0
5912,Sr2LuRuO6,1360.0
1394,TiNi0.4Pb0.6O3,1000.0
5852,LiMg0.2LaO2,800.0
9539,BaGd0.5Pr0.5Co2O5,1000.0
626,Sc0.04Zr0.96W2O8,1200.0
10670,Zr0.456Ti0.494Nb0.033Mn0.017PbO3,1200.0
4815,NaMoAgO4,553.3333333333334
10130,Mg0.1Cr0.1Fe2Ni0.5Zn0.3O4,1350.0
8835,Ca0.85Sm0.1Ti4Cu3O12,1080.0
7764,Eu0.1Pr0.9TiNbO6,1370.0
